"","julian","mean","sd","n","SE"
"1",105,932.033333333333,414.429829203127,3,239.271173450636
"2",106,657.985714285714,88.7378428963921,7,33.5397520263104
"3",107,660.842857142857,106.735933610989,7,40.3423908984254
"4",108,676.914285714286,110.78051014764,7,41.8710971376462
"5",109,604.057142857143,85.3232648449971,7,32.2491628325661
"6",110,681.914285714286,136.684812964858,7,51.6620033006272
"7",111,276.557142857143,145.21843153382,7,54.8874079459069
"8",112,307.628571428571,90.7475567033022,7,34.2993524462386
"9",113,564.771428571429,148.245693746178,7,56.0316055126616
"10",114,650.128571428571,153.418389969887,7,57.9867009148925
"11",115,613.7,106.643877773957,7,40.3075970624941
"12",116,424.414285714286,119.414494214779,7,45.1344363755523
"13",117,403.7,52.9937103186155,7,20.0297397933791
"14",118,121.557142857143,48.8072008738757,7,18.4473879573499
"15",119,154.414285714286,34.2087429648927,7,12.9296895070338
"16",120,551.914285714286,116.937610553255,7,44.1982623477193
"17",121,159.414285714286,112.737843817289,7,42.6108997265982
"18",122,379.771428571429,189.878563949749,7,71.7673513590159
"19",123,477.985714285714,240.128933620888,7,90.7602058502866
"20",124,330.485714285714,211.702987135054,7,80.0162079669798
"21",125,207.628571428571,73.8503151490842,7,27.9127954468889
"22",126,337.271428571429,141.442399516384,7,53.4602019943706
"23",127,336.914285714286,200.139088540707,7,75.6454651288352
"24",128,279.414285714286,170.139123744574,7,64.3065442443696
"25",129,91.5571428571429,23.6919717163752,7,8.95472360432928
"26",130,74.7714285714286,32.5594694001461,7,12.3063226932863
"27",131,47.9857142857143,40.81753824732,7,15.4275793331823
"28",132,121.914285714286,49.3650155667428,7,18.6582220937762
"29",133,138.7,99.2156741649221,7,37.5
"30",134,18.7,11.1803398874989,7,4.22577127364258
"31",135,67.9857142857143,18.0112398769425,7,6.80760878833133
"32",136,163.7,141.185457230316,7,53.3630869386231
"33",137,75.4857142857143,11.8773493916542,7,4.48921610356305
"34",138,47.2714285714286,25.1187655141008,7,9.49400097017947
"35",139,80.4857142857143,60.2894802479788,7,22.7872816299275
"36",140,77.2714285714286,32.2379545611336,7,12.1848015065943
"37",141,15.1285714285714,1.96698948117361,7,0.743452142666476
"38",142,62.6285714285714,17.0084012854152,7,6.42857142857143
"39",143,76.5571428571428,50.5475966175398,7,19.1051957174314
"40",144,58.3428571428571,38.3630836935222,7,14.499882711231
"41",145,74.4142857142857,53.8461211407541,7,20.3519208005561
"42",146,46.5571428571429,17.5848284175931,7,6.64644040581327
"43",147,50.4857142857143,32.3945174667684,7,12.2439767227153
"44",148,42.6285714285714,14.4234432187919,7,5.4515491151692
"45",149,23.7,17.1391365010026,7,6.47798469543466
"46",150,52.9857142857143,17.660825629193,7,6.6751646518458
"47",151,52.2714285714286,39.9441574486897,7,15.0974724198916
"48",152,50.1285714285714,46.967567330578,7,17.7520718346273
"49",153,46.5571428571429,29.7359410558366,7,11.2391292906027
"50",154,49.4142857142857,13.8228589145454,7,5.22454958511707
"51",155,39.0571428571429,10.1477184862505,7,3.83547706990167
"52",156,19.0571428571429,8.09173593712687,7,3.05838870920598
"53",157,43.7,12.6655701279756,7,4.78713553878169
"54",158,46.9142857142857,24.7367087929005,7,9.34959710289136
"55",159,59.4142857142857,30.9473439124926,7,11.6969965329206
"56",160,60.1285714285714,39.419145698747,7,14.8990366305009
"57",161,55.1285714285714,34.3346624800514,7,12.9772826102223
"58",162,71.9142857142857,58.6961505998315,7,22.1850596291355
"59",163,81.2,52.8165062583027,7,19.9627629541079
"60",164,62.2714285714286,49.8718596099281,7,18.8497911354566
"61",165,50.1285714285714,32.4633492976163,7,12.269992709388
"62",166,47.2714285714286,18.1347469687075,7,6.85429008118323
"63",167,12.6285714285714,4.29562346492112,7,1.62359305916498
"64",168,57.2714285714286,30.3746448146978,7,11.4805366202297
"65",169,49.0571428571429,31.4718316987777,7,11.8952342826636
"66",170,51.5571428571429,29.0627400143699,7,10.9846832137355
"67",171,51.9142857142857,21.1991688965573,7,8.01253270022088
"68",172,41.9142857142857,19.6698948117361,7,7.43452142666476
"69",173,50.4857142857143,9.43335015983692,7,3.56547122187427
"70",174,15.8428571428571,6.36209010280352,7,2.40464403294335
"71",175,49.0571428571429,26.1577176083119,7,9.88668795094979
"72",176,39.0571428571429,11.4043642439868,7,4.31044452148373
"73",177,40.1285714285714,13.451854182691,7,5.08432297715777
"74",178,63.7,36.1708906903512,7,13.6713116380529
"75",179,53.7,30.5505046330389,7,11.5470053837925
"76",180,41.5571428571429,6.19619699032053,7,2.34194233010786
"77",181,37.9857142857143,6.40869944461656,7,2.42226070825902
"78",182,66.5571428571429,44.4978597666171,7,16.8186101167279
"79",183,44.7714285714286,15.9332685792667,7,6.02220946187702
"80",184,50.1285714285714,8.52168103246347,7,3.22089268058778
"81",185,34.7714285714286,6.74801558131828,7,2.55051015305102
