"","X","i","date.time","PAR","month","month1or2","year","day","time","hour","min","hour.min","julian","noon","tento2"
"1",1,1,"4/15/2016 13:00",1403.7,"4",1,"2016",15,"13:00",13,0,13,105,"other","tento2"
"2",2,2,"4/15/2016 13:30",766.2,"4",1,"2016",15,"13:30",13,0.5,13.5,105,"other","tento2"
"3",3,3,"4/15/2016 14:00",626.2,"4",1,"2016",15,"14:00",14,0,14,105,"other","tento2"
"4",4,4,"4/15/2016 14:30",456.2,"4",1,"2016",15,"14:30",14,0.5,14.5,105,"other","other"
"5",5,5,"4/15/2016 15:00",466.2,"4",1,"2016",15,"15:00",15,0,15,105,"other","other"
"6",6,6,"4/15/2016 15:30",683.7,"4",1,"2016",15,"15:30",15,0.5,15.5,105,"other","other"
"7",7,7,"4/15/2016 16:00",848.7,"4",1,"2016",15,"16:00",16,0,16,105,"other","other"
"8",8,8,"4/15/2016 16:30",591.2,"4",1,"2016",15,"16:30",16,0.5,16.5,105,"other","other"
"9",9,9,"4/15/2016 17:00",418.7,"4",1,"2016",15,"17:00",17,0,17,105,"other","other"
"10",10,10,"4/15/2016 17:30",351.2,"4",1,"2016",15,"17:30",17,0.5,17.5,105,"other","other"
"11",11,11,"4/15/2016 18:00",133.7,"4",1,"2016",15,"18:00",18,0,18,105,"other","other"
"12",12,12,"4/15/2016 18:30",66.2,"4",1,"2016",15,"18:30",18,0.5,18.5,105,"other","other"
"13",13,13,"4/15/2016 19:00",48.7,"4",1,"2016",15,"19:00",19,0,19,105,"other","other"
"14",14,14,"4/15/2016 19:30",31.2,"4",1,"2016",15,"19:30",19,0.5,19.5,105,"other","other"
"15",15,15,"4/15/2016 20:00",11.2,"4",1,"2016",15,"20:00",20,0,20,105,"other","other"
"16",16,16,"4/15/2016 20:30",1.2,"4",1,"2016",15,"20:30",20,0.5,20.5,105,"other","other"
"17",17,17,"4/15/2016 21:00",1.2,"4",1,"2016",15,"21:00",21,0,21,105,"other","other"
"18",18,18,"4/15/2016 21:30",1.2,"4",1,"2016",15,"21:30",21,0.5,21.5,105,"other","other"
"19",19,19,"4/15/2016 22:00",1.2,"4",1,"2016",15,"22:00",22,0,22,105,"other","other"
"20",20,20,"4/15/2016 22:30",1.2,"4",1,"2016",15,"22:30",22,0.5,22.5,105,"other","other"
"21",21,21,"4/15/2016 23:00",1.2,"4",1,"2016",15,"23:00",23,0,23,105,"other","other"
"22",22,22,"4/15/2016 23:30",1.2,"4",1,"2016",15,"23:30",23,0.5,23.5,105,"other","other"
"23",23,23,"4/16/2016 0:00",1.2,"4",1,"2016",16,"0:00",0,0,0,106,"other","other"
"24",24,24,"4/16/2016 0:30",1.2,"4",1,"2016",16,"0:30",0,0.5,0.5,106,"other","other"
"25",25,25,"4/16/2016 1:00",1.2,"4",1,"2016",16,"1:00",1,0,1,106,"other","other"
"26",26,26,"4/16/2016 1:30",1.2,"4",1,"2016",16,"1:30",1,0.5,1.5,106,"other","other"
"27",27,27,"4/16/2016 2:00",1.2,"4",1,"2016",16,"2:00",2,0,2,106,"other","other"
"28",28,28,"4/16/2016 2:30",1.2,"4",1,"2016",16,"2:30",2,0.5,2.5,106,"other","other"
"29",29,29,"4/16/2016 3:00",1.2,"4",1,"2016",16,"3:00",3,0,3,106,"other","other"
"30",30,30,"4/16/2016 3:30",1.2,"4",1,"2016",16,"3:30",3,0.5,3.5,106,"other","other"
"31",31,31,"4/16/2016 4:00",1.2,"4",1,"2016",16,"4:00",4,0,4,106,"other","other"
"32",32,32,"4/16/2016 4:30",1.2,"4",1,"2016",16,"4:30",4,0.5,4.5,106,"other","other"
"33",33,33,"4/16/2016 5:00",1.2,"4",1,"2016",16,"5:00",5,0,5,106,"other","other"
"34",34,34,"4/16/2016 5:30",1.2,"4",1,"2016",16,"5:30",5,0.5,5.5,106,"other","other"
"35",35,35,"4/16/2016 6:00",1.2,"4",1,"2016",16,"6:00",6,0,6,106,"other","other"
"36",36,36,"4/16/2016 6:30",1.2,"4",1,"2016",16,"6:30",6,0.5,6.5,106,"other","other"
"37",37,37,"4/16/2016 7:00",6.2,"4",1,"2016",16,"7:00",7,0,7,106,"other","other"
"38",38,38,"4/16/2016 7:30",28.7,"4",1,"2016",16,"7:30",7,0.5,7.5,106,"other","other"
"39",39,39,"4/16/2016 8:00",66.2,"4",1,"2016",16,"8:00",8,0,8,106,"other","other"
"40",40,40,"4/16/2016 8:30",136.2,"4",1,"2016",16,"8:30",8,0.5,8.5,106,"other","other"
"41",41,41,"4/16/2016 9:00",156.2,"4",1,"2016",16,"9:00",9,0,9,106,"other","other"
"42",42,42,"4/16/2016 9:30",258.7,"4",1,"2016",16,"9:30",9,0.5,9.5,106,"other","other"
"43",43,43,"4/16/2016 10:00",468.7,"4",1,"2016",16,"10:00",10,0,10,106,"other","other"
"44",44,44,"4/16/2016 10:30",431.2,"4",1,"2016",16,"10:30",10,0.5,10.5,106,"other","other"
"45",45,45,"4/16/2016 11:00",533.7,"4",1,"2016",16,"11:00",11,0,11,106,"other","tento2"
"46",46,46,"4/16/2016 11:30",596.2,"4",1,"2016",16,"11:30",11,0.5,11.5,106,"other","tento2"
"47",47,47,"4/16/2016 12:00",583.7,"4",1,"2016",16,"12:00",12,0,12,106,"noon","tento2"
"48",48,48,"4/16/2016 12:30",703.7,"4",1,"2016",16,"12:30",12,0.5,12.5,106,"other","tento2"
"49",49,49,"4/16/2016 13:00",726.2,"4",1,"2016",16,"13:00",13,0,13,106,"other","tento2"
"50",50,50,"4/16/2016 13:30",781.2,"4",1,"2016",16,"13:30",13,0.5,13.5,106,"other","tento2"
"51",51,51,"4/16/2016 14:00",681.2,"4",1,"2016",16,"14:00",14,0,14,106,"other","tento2"
"52",52,52,"4/16/2016 14:30",488.7,"4",1,"2016",16,"14:30",14,0.5,14.5,106,"other","other"
"53",53,53,"4/16/2016 15:00",511.2,"4",1,"2016",16,"15:00",15,0,15,106,"other","other"
"54",54,54,"4/16/2016 15:30",731.2,"4",1,"2016",16,"15:30",15,0.5,15.5,106,"other","other"
"55",55,55,"4/16/2016 16:00",856.2,"4",1,"2016",16,"16:00",16,0,16,106,"other","other"
"56",56,56,"4/16/2016 16:30",583.7,"4",1,"2016",16,"16:30",16,0.5,16.5,106,"other","other"
"57",57,57,"4/16/2016 17:00",458.7,"4",1,"2016",16,"17:00",17,0,17,106,"other","other"
"58",58,58,"4/16/2016 17:30",333.7,"4",1,"2016",16,"17:30",17,0.5,17.5,106,"other","other"
"59",59,59,"4/16/2016 18:00",151.2,"4",1,"2016",16,"18:00",18,0,18,106,"other","other"
"60",60,60,"4/16/2016 18:30",68.7,"4",1,"2016",16,"18:30",18,0.5,18.5,106,"other","other"
"61",61,61,"4/16/2016 19:00",51.2,"4",1,"2016",16,"19:00",19,0,19,106,"other","other"
"62",62,62,"4/16/2016 19:30",31.2,"4",1,"2016",16,"19:30",19,0.5,19.5,106,"other","other"
"63",63,63,"4/16/2016 20:00",11.2,"4",1,"2016",16,"20:00",20,0,20,106,"other","other"
"64",64,64,"4/16/2016 20:30",1.2,"4",1,"2016",16,"20:30",20,0.5,20.5,106,"other","other"
"65",65,65,"4/16/2016 21:00",1.2,"4",1,"2016",16,"21:00",21,0,21,106,"other","other"
"66",66,66,"4/16/2016 21:30",1.2,"4",1,"2016",16,"21:30",21,0.5,21.5,106,"other","other"
"67",67,67,"4/16/2016 22:00",1.2,"4",1,"2016",16,"22:00",22,0,22,106,"other","other"
"68",68,68,"4/16/2016 22:30",1.2,"4",1,"2016",16,"22:30",22,0.5,22.5,106,"other","other"
"69",69,69,"4/16/2016 23:00",1.2,"4",1,"2016",16,"23:00",23,0,23,106,"other","other"
"70",70,70,"4/16/2016 23:30",1.2,"4",1,"2016",16,"23:30",23,0.5,23.5,106,"other","other"
"71",71,71,"4/17/2016 0:00",1.2,"4",1,"2016",17,"0:00",0,0,0,107,"other","other"
"72",72,72,"4/17/2016 0:30",1.2,"4",1,"2016",17,"0:30",0,0.5,0.5,107,"other","other"
"73",73,73,"4/17/2016 1:00",1.2,"4",1,"2016",17,"1:00",1,0,1,107,"other","other"
"74",74,74,"4/17/2016 1:30",1.2,"4",1,"2016",17,"1:30",1,0.5,1.5,107,"other","other"
"75",75,75,"4/17/2016 2:00",1.2,"4",1,"2016",17,"2:00",2,0,2,107,"other","other"
"76",76,76,"4/17/2016 2:30",1.2,"4",1,"2016",17,"2:30",2,0.5,2.5,107,"other","other"
